''head'';884218:(1,1.0,[3])
doesnt;882231:(1,1.0,[18]);883049:(1,1.0,[32])
dog;882199:(1,1.0,[31]);882379:(2,1.3,[24, 30]);882458:(1,1.0,[31]);883194:(1,1.0,[17]);884126:(1,1.0,[2]);884261:(2,1.3,[1, 39]);884682:(1,1.0,[1]);884923:(1,1.0,[10]);885041:(1,1.0,[1]);885184:(2,1.3,[2, 19]);885497:(1,1.0,[45]);885754:(1,1.0,[11])
dog';883526:(1,1.0,[21])
dogg;882843:(1,1.0,[5])
dogs';883920:(1,1.0,[8])
doin';883362:(1,1.0,[0])
dolbi;884930:(1,1.0,[5])
dole;884943:(1,1.0,[135])
doll;884371:(2,1.3,[8, 22]);884421:(1,1.0,[1]);885610:(1,1.0,[19])
dollar;882174:(1,1.0,[56]);882375:(1,1.0,[29]);882814:(1,1.0,[22]);883310:(1,1.0,[49]);883610:(1,1.0,[24]);883622:(2,1.3,[7, 10]);883683:(1,1.0,[15]);883999:(1,1.0,[24]);884602:(1,1.0,[8]);885171:(1,1.0,[154]);885379:(1,1.0,[3]);885439:(1,1.0,[24]);885857:(1,1.0,[12])
dollhous;882715:(1,1.0,[150])
dolli;882829:(1,1.0,[5]);882859:(1,1.0,[12]);883415:(2,1.3,[0, 17]);883929:(1,1.0,[20]);885548:(1,1.0,[30])
dolorosa;883893:(2,1.3,[1696, 2356])
dolphin;884882:(1,1.0,[0])
dom;885431:(1,1.0,[21])
domain;882929:(2,1.3,[8, 16])
domin;883339:(1,1.0,[0]);884027:(1,1.0,[2]);884739:(1,1.0,[9]);885510:(1,1.0,[15])
dominick;885197:(3,1.48,[0, 7, 30])
domo;884819:(1,1.0,[3])
don';882608:(3,1.48,[3, 13, 18]);883563:(1,1.0,[15])
donald;884965:(1,1.0,[8]);885013:(2,1.3,[3, 16]);885464:(1,1.0,[127])
donat;885464:(1,1.0,[79])
donatella;883058:(1,1.0,[35])
donau;883893:(1,1.0,[265])
dond;883361:(1,1.0,[0])
done;881957:(1,1.0,[3]);881982:(1,1.0,[37]);882104:(1,1.0,[15]);882114:(1,1.0,[11]);882138:(1,1.0,[20]);882175:(1,1.0,[27]);882218:(1,1.0,[7]);882223:(2,1.3,[9, 15]);882229:(1,1.0,[8]);882300:(1,1.0,[21]);882304:(1,1.0,[9]);882390:(1,1.0,[3]);882467:(1,1.0,[9]);882468:(1,1.0,[55]);882498:(2,1.3,[68, 92]);882607:(1,1.0,[13]);882732:(1,1.0,[11]);882781:(1,1.0,[9]);882807:(1,1.0,[11]);882839:(1,1.0,[27]);882867:(1,1.0,[1]);882891:(1,1.0,[24]);882951:(2,1.3,[124, 141]);883008:(1,1.0,[41]);883023:(1,1.0,[19]);883096:(1,1.0,[57]);883146:(1,1.0,[6]);883177:(1,1.0,[40]);883183:(1,1.0,[3]);883205:(1,1.0,[10]);883218:(1,1.0,[7]);883220:(1,1.0,[13]);883299:(2,1.3,[26, 83]);883420:(1,1.0,[1]);883436:(1,1.0,[21]);883504:(1,1.0,[12]);883560:(1,1.0,[141]);883562:(1,1.0,[12]);883570:(1,1.0,[15]);883572:(1,1.0,[12]);883575:(1,1.0,[2]);883576:(1,1.0,[7]);883632:(1,1.0,[6]);883663:(1,1.0,[12]);883726:(1,1.0,[8]);883729:(1,1.0,[4]);883750:(2,1.3,[14, 21]);883768:(1,1.0,[20]);883777:(1,1.0,[22]);883816:(1,1.0,[66]);883821:(1,1.0,[10]);883861:(1,1.0,[21]);883867:(1,1.0,[17]);883913:(1,1.0,[14]);883930:(1,1.0,[16]);883937:(1,1.0,[8]);883968:(1,1.0,[19]);884030:(1,1.0,[17]);884033:(1,1.0,[22]);884177:(1,1.0,[15]);884195:(2,1.3,[7, 30]);884200:(1,1.0,[40]);884203:(1,1.0,[6]);884247:(1,1.0,[9]);884288:(1,1.0,[30]);884325:(1,1.0,[6]);884356:(1,1.0,[16]);884357:(1,1.0,[11]);884385:(2,1.3,[8, 31]);884422:(1,1.0,[25]);884465:(1,1.0,[21]);884466:(1,1.0,[7]);884481:(1,1.0,[12]);884495:(1,1.0,[25]);884512:(1,1.0,[55]);884549:(1,1.0,[20]);884565:(1,1.0,[2]);884569:(1,1.0,[12]);884578:(1,1.0,[60]);884594:(1,1.0,[7]);884603:(1,1.0,[145]);884618:(1,1.0,[12]);884629:(1,1.0,[3]);884641:(1,1.0,[2]);884674:(1,1.0,[4]);884729:(1,1.0,[35]);884743:(1,1.0,[17]);884758:(1,1.0,[21]);884774:(1,1.0,[86]);884775:(1,1.0,[3]);884784:(1,1.0,[27]);884853:(1,1.0,[23]);884893:(1,1.0,[1]);884906:(1,1.0,[3]);884940:(1,1.0,[3]);884943:(1,1.0,[6]);884944:(1,1.0,[5]);884992:(1,1.0,[11]);885000:(1,1.0,[5]);885003:(2,1.3,[25, 27]);885130:(1,1.0,[11]);885167:(1,1.0,[11]);885170:(1,1.0,[116]);885201:(1,1.0,[11]);885245:(1,1.0,[25]);885326:(1,1.0,[6]);885375:(1,1.0,[2]);885399:(1,1.0,[23]);885421:(1,1.0,[15]);885464:(1,1.0,[158]);885486:(1,1.0,[10]);885497:(1,1.0,[75]);885548:(2,1.3,[45, 49]);885559:(1,1.0,[25]);885577:(1,1.0,[14]);885754:(2,1.3,[6, 9]);885817:(1,1.0,[14]);885858:(1,1.0,[12]);885872:(1,1.0,[11]);885880:(1,1.0,[7]);885924:(2,1.3,[81, 88]);885932:(1,1.0,[22]);885982:(1,1.0,[6]);886025:(1,1.0,[27])
doni;884755:(1,1.0,[2])
donizetti;883893:(1,1.0,[933])
donkey;882874:(1,1.0,[0]);883339:(1,1.0,[1]);885197:(3,1.48,[1, 4, 31])
donna;883193:(1,1.0,[63]);885683:(3,1.48,[10, 62, 85])
donner;883893:(1,1.0,[80])
donni;884539:(2,1.3,[9, 13]);884634:(1,1.0,[11]);885950:(1,1.0,[10])
donovan;882707:(1,1.0,[6])
dont;881994:(1,1.0,[59]);882235:(1,1.0,[25]);882327:(1,1.0,[17]);882370:(1,1.0,[13]);882517:(1,1.0,[5]);882736:(2,1.3,[4, 31]);882772:(1,1.0,[17]);882988:(1,1.0,[7]);883288:(1,1.0,[11]);883341:(1,1.0,[8]);883574:(1,1.0,[5]);883627:(1,1.0,[1]);884063:(1,1.0,[2]);884124:(1,1.0,[5]);884309:(1,1.0,[9]);884491:(1,1.0,[31]);884532:(1,1.0,[32]);885702:(1,1.0,[10]);885787:(1,1.0,[10])
doo;882287:(1,1.0,[0]);884840:(1,1.0,[0])
doom;882443:(1,1.0,[1]);884217:(1,1.0,[18]);884475:(1,1.0,[21]);885736:(1,1.0,[0])
door;882467:(1,1.0,[1]);883108:(1,1.0,[44]);883409:(1,1.0,[259]);883973:(1,1.0,[20]);884153:(1,1.0,[7]);884790:(2,1.3,[1, 33]);885170:(6,1.78,[1, 20, 41, 80, 332, 405])
dope;882188:(1,1.0,[19]);882297:(1,1.0,[20]);883058:(1,1.0,[34]);883100:(1,1.0,[16]);883142:(1,1.0,[3]);884430:(1,1.0,[15]);884560:(1,1.0,[18]);885089:(1,1.0,[20]);885170:(1,1.0,[269])
dopest;882387:(1,1.0,[3])
dorado;884629:(1,1.0,[1]);884766:(1,1.0,[11])
dorfschwalben;883893:(1,1.0,[217])
dorinda;886007:(1,1.0,[5])
dorma;882549:(1,1.0,[2])
dorothi;883744:(1,1.0,[14])
dose;882388:(1,1.0,[4]);882571:(1,1.0,[4]);883655:(1,1.0,[27]);885234:(1,1.0,[8])
doubl;882129:(1,1.0,[8]);882418:(1,1.0,[0]);883034:(1,1.0,[0]);884494:(1,1.0,[7]);885027:(2,1.3,[3, 138]);885910:(1,1.0,[21])
doubt;882010:(1,1.0,[50]);882220:(1,1.0,[390]);882323:(1,1.0,[4]);882654:(1,1.0,[4]);882715:(1,1.0,[221]);882743:(1,1.0,[26]);883646:(1,1.0,[16]);883851:(1,1.0,[212]);883945:(2,1.3,[2, 13]);883999:(1,1.0,[22]);884023:(1,1.0,[5]);884031:(1,1.0,[13]);884197:(1,1.0,[6]);884204:(1,1.0,[54]);884264:(1,1.0,[13]);884457:(1,1.0,[7]);884752:(1,1.0,[2]);884773:(1,1.0,[5]);884923:(1,1.0,[2]);885496:(1,1.0,[2]);885701:(1,1.0,[18]);885957:(1,1.0,[84]);885986:(1,1.0,[12])
douchebag;885858:(1,1.0,[14])
doug;884915:(1,1.0,[37])
dough;884880:(1,1.0,[28])
dovey;882070:(2,1.3,[14, 29]);883903:(1,1.0,[11])
dowd';883409:(1,1.0,[357])
dowland;883893:(2,1.3,[1715, 2375]);884278:(4,1.6,[0, 8, 36, 43]);884943:(2,1.3,[89, 102])
dowland';884943:(2,1.3,[96, 113])
dowload;882176:(1,1.0,[17])
down;884444:(1,1.0,[19])
downgrad;885105:(1,1.0,[143])
download;881926:(1,1.0,[74]);881928:(1,1.0,[4]);881942:(1,1.0,[7]);881966:(1,1.0,[13]);881985:(1,1.0,[8]);881995:(2,1.3,[12, 24]);882004:(1,1.0,[7]);882010:(1,1.0,[83]);882072:(2,1.3,[2, 12]);882085:(1,1.0,[12]);882086:(1,1.0,[6]);882096:(1,1.0,[4]);882098:(1,1.0,[21]);882100:(1,1.0,[4]);882106:(2,1.3,[7, 11]);882156:(1,1.0,[4]);882246:(1,1.0,[9]);882260:(1,1.0,[17]);882278:(1,1.0,[16]);882280:(1,1.0,[10]);882296:(1,1.0,[14]);882346:(2,1.3,[11, 24]);882375:(2,1.3,[31, 40]);882376:(1,1.0,[14]);882396:(1,1.0,[10]);882410:(1,1.0,[3]);882418:(1,1.0,[24]);882423:(1,1.0,[10]);882425:(2,1.3,[10, 18]);882445:(1,1.0,[7]);882452:(1,1.0,[2]);882475:(1,1.0,[9]);882477:(1,1.0,[2]);882486:(1,1.0,[11]);882535:(1,1.0,[45]);882556:(1,1.0,[2]);882604:(1,1.0,[15]);882674:(1,1.0,[16]);882684:(1,1.0,[8]);882699:(1,1.0,[7]);882709:(2,1.3,[8, 12]);882715:(1,1.0,[205]);882759:(1,1.0,[11]);882770:(1,1.0,[21]);882795:(1,1.0,[23]);882815:(1,1.0,[14]);882841:(1,1.0,[28]);882854:(1,1.0,[87]);882865:(2,1.3,[4, 11]);882884:(1,1.0,[6]);882891:(1,1.0,[18]);882913:(1,1.0,[18]);882914:(1,1.0,[16]);882929:(2,1.3,[25, 38]);882930:(1,1.0,[2]);882932:(1,1.0,[9]);882936:(1,1.0,[10]);882937:(1,1.0,[7]);882947:(2,1.3,[23, 204]);882991:(1,1.0,[22]);883013:(1,1.0,[5]);883016:(1,1.0,[35]);883018:(1,1.0,[10]);883032:(1,1.0,[18]);883072:(1,1.0,[10]);883178:(1,1.0,[1]);883199:(2,1.3,[5, 22]);883210:(2,1.3,[6, 23]);883217:(1,1.0,[5]);883219:(1,1.0,[6]);883227:(1,1.0,[11]);883272:(1,1.0,[13]);883307:(1,1.0,[15]);883310:(1,1.0,[41]);883331:(2,1.3,[6, 23]);883334:(1,1.0,[16]);883372:(2,1.3,[9, 26]);883379:(1,1.0,[34]);883391:(1,1.0,[10]);883394:(1,1.0,[2]);883432:(1,1.0,[15]);883443:(1,1.0,[41]);883501:(1,1.0,[40]);883503:(1,1.0,[19]);883506:(2,1.3,[6, 23]);883507:(1,1.0,[9]);883534:(1,1.0,[10]);883536:(1,1.0,[82]);883542:(1,1.0,[17]);883546:(1,1.0,[41]);883575:(1,1.0,[8]);883589:(2,1.3,[7, 26]);883591:(1,1.0,[10]);883625:(3,1.48,[4, 10, 19]);883637:(1,1.0,[5]);883664:(1,1.0,[54]);883677:(1,1.0,[38]);883683:(1,1.0,[11]);883725:(1,1.0,[11]);883728:(1,1.0,[16]);883734:(1,1.0,[13]);883746:(1,1.0,[9]);883748:(3,1.48,[7, 17, 23]);883750:(1,1.0,[41]);883754:(1,1.0,[16]);883770:(1,1.0,[14]);883788:(1,1.0,[7]);883839:(2,1.3,[9, 12]);883851:(2,1.3,[236, 380]);883871:(2,1.3,[37, 52]);883940:(1,1.0,[13]);884113:(3,1.48,[7, 12, 20]);884190:(2,1.3,[8, 13]);884192:(2,1.3,[15, 166]);884207:(1,1.0,[7]);884212:(1,1.0,[13]);884215:(1,1.0,[9]);884228:(1,1.0,[7]);884230:(1,1.0,[7]);884231:(2,1.3,[3, 10]);884238:(1,1.0,[21]);884242:(1,1.0,[29]);884245:(1,1.0,[21]);884249:(1,1.0,[6]);884333:(1,1.0,[6]);884336:(1,1.0,[6]);884340:(1,1.0,[7]);884346:(1,1.0,[13]);884368:(1,1.0,[11]);884386:(1,1.0,[6]);884393:(1,1.0,[5]);884408:(1,1.0,[7]);884409:(1,1.0,[7]);884412:(1,1.0,[8]);884439:(1,1.0,[17]);884453:(1,1.0,[38]);884461:(1,1.0,[9]);884488:(1,1.0,[5]);884504:(1,1.0,[9]);884535:(1,1.0,[5]);884572:(1,1.0,[12]);884602:(1,1.0,[14]);884644:(1,1.0,[11]);884660:(1,1.0,[15]);884675:(1,1.0,[8]);884685:(2,1.3,[17, 21]);884701:(1,1.0,[5]);884703:(1,1.0,[6]);884704:(1,1.0,[9]);884723:(1,1.0,[7]);884788:(1,1.0,[5]);884792:(1,1.0,[1]);884829:(1,1.0,[49]);884844:(1,1.0,[6]);884847:(1,1.0,[17]);884887:(1,1.0,[20]);884934:(1,1.0,[7]);884935:(1,1.0,[8]);884954:(1,1.0,[13]);884968:(1,1.0,[26]);884979:(1,1.0,[12]);885007:(2,1.3,[6, 9]);885017:(2,1.3,[5, 21]);885039:(1,1.0,[8]);885044:(1,1.0,[7]);885051:(2,1.3,[9, 20]);885061:(1,1.0,[7]);885078:(1,1.0,[11]);885085:(1,1.0,[48]);885087:(1,1.0,[12]);885133:(1,1.0,[21]);885145:(3,1.48,[5, 12, 16]);885223:(1,1.0,[6]);885234:(1,1.0,[1]);885241:(1,1.0,[16]);885258:(1,1.0,[24]);885275:(1,1.0,[17]);885286:(1,1.0,[15]);885292:(1,1.0,[13]);885320:(1,1.0,[12]);885326:(1,1.0,[9]);885332:(1,1.0,[17]);885337:(1,1.0,[10]);885391:(1,1.0,[14]);885425:(1,1.0,[7]);885426:(1,1.0,[12]);885497:(1,1.0,[99]);885514:(1,1.0,[40]);885545:(1,1.0,[8]);885576:(2,1.3,[10, 14]);885615:(2,1.3,[11, 27]);885629:(2,1.3,[18, 52]);885636:(1,1.0,[3]);885645:(1,1.0,[11]);885649:(1,1.0,[7]);885656:(1,1.0,[10]);885664:(1,1.0,[4]);885668:(1,1.0,[9]);885672:(1,1.0,[5]);885703:(1,1.0,[10]);885705:(1,1.0,[14]);885730:(1,1.0,[7]);885737:(1,1.0,[9]);885741:(1,1.0,[7]);885746:(1,1.0,[13]);885756:(1,1.0,[4]);885762:(1,1.0,[5]);885789:(1,1.0,[105]);885809:(1,1.0,[10]);885841:(1,1.0,[7]);885881:(1,1.0,[16]);885884:(1,1.0,[7]);885905:(3,1.48,[48, 104, 112]);885912:(1,1.0,[17]);885915:(1,1.0,[8]);885931:(1,1.0,[16]);886006:(1,1.0,[8]);886020:(1,1.0,[9]);886037:(1,1.0,[7])
downright;882199:(1,1.0,[20])
downsid;882220:(1,1.0,[298])
downstream;885917:(1,1.0,[1])
downtempo;882780:(1,1.0,[3]);883222:(1,1.0,[11])
downtown;882117:(1,1.0,[0])
downward;885555:(1,1.0,[0])
dozen;883376:(1,1.0,[3]);883528:(2,1.3,[12, 26]);883783:(1,1.0,[14]);885867:(1,1.0,[71])
dp;882270:(1,1.0,[48]);882409:(2,1.3,[2, 7]);882895:(1,1.0,[26]);882984:(1,1.0,[9])
dpid;884028:(1,1.0,[70])
dppl;884028:(1,1.0,[69])
dr;882128:(1,1.0,[15]);883020:(1,1.0,[3]);883560:(2,1.3,[77, 93]);883610:(1,1.0,[3]);883912:(1,1.0,[13]);884136:(2,1.3,[1, 43]);884434:(1,1.0,[16]);884857:(1,1.0,[8]);885410:(1,1.0,[243]);885487:(1,1.0,[293])
drag;882452:(1,1.0,[32]);882477:(1,1.0,[32]);882556:(1,1.0,[32]);883176:(1,1.0,[7]);883585:(1,1.0,[11]);884233:(1,1.0,[11]);885170:(1,1.0,[185])
dragon;882142:(1,1.0,[0]);882208:(1,1.0,[4]);882602:(1,1.0,[7]);882808:(1,1.0,[7]);883460:(1,1.0,[1]);884206:(1,1.0,[18]);885474:(1,1.0,[14])
dragon';883963:(1,1.0,[8])
drake;883479:(1,1.0,[9]);883667:(1,1.0,[15]);883819:(1,1.0,[33]);885616:(1,1.0,[4])
drama;882579:(2,1.3,[26, 28]);882822:(1,1.0,[3]);883359:(1,1.0,[8]);884350:(1,1.0,[3]);885409:(1,1.0,[15])
dramat;881886:(1,1.0,[83]);882048:(1,1.0,[16]);882780:(1,1.0,[23]);883469:(1,1.0,[54]);884962:(1,1.0,[18]);885410:(1,1.0,[265]);885497:(1,1.0,[6])
drank;885083:(1,1.0,[1])
drastic;884512:(1,1.0,[100]);885957:(1,1.0,[75])
draw;882220:(5,1.7,[453, 692, 1065, 1228, 1600]);882964:(1,1.0,[9]);883270:(1,1.0,[645]);883869:(1,1.0,[45]);884090:(1,1.0,[16]);884362:(1,1.0,[12]);884736:(1,1.0,[30]);884742:(1,1.0,[5]);884755:(1,1.0,[3]);884778:(1,1.0,[11]);884966:(1,1.0,[31]);885010:(1,1.0,[24]);885588:(1,1.0,[22]);885709:(2,1.3,[7, 11])
drawback;885782:(1,1.0,[8])
drawl;885970:(1,1.0,[21])
drawn;882220:(1,1.0,[336]);882334:(1,1.0,[44]);883381:(1,1.0,[23]);885394:(1,1.0,[5])
dre;882387:(1,1.0,[17]);884857:(1,1.0,[9])
dread;884983:(1,1.0,[36])
dream;881964:(1,1.0,[13]);882005:(1,1.0,[111]);882168:(1,1.0,[2]);882237:(1,1.0,[1]);882453:(1,1.0,[1]);882470:(1,1.0,[0]);882478:(1,1.0,[93]);882510:(1,1.0,[1]);882550:(1,1.0,[1]);882557:(1,1.0,[1]);882604:(1,1.0,[0]);882614:(1,1.0,[0]);882630:(1,1.0,[71]);882663:(2,1.3,[0, 1]);882679:(1,1.0,[2]);882760:(1,1.0,[0]);882873:(1,1.0,[0]);883026:(2,1.3,[217, 273]);883175:(1,1.0,[2]);883204:(1,1.0,[0]);883213:(2,1.3,[204, 229]);883270:(1,1.0,[559]);883419:(1,1.0,[15]);883448:(1,1.0,[66]);883455:(1,1.0,[159]);883476:(1,1.0,[16]);883490:(1,1.0,[22]);883498:(1,1.0,[17]);883521:(1,1.0,[13]);883528:(1,1.0,[15]);883580:(1,1.0,[0]);883625:(1,1.0,[2]);883722:(1,1.0,[19]);883727:(1,1.0,[0]);883893:(4,1.6,[388, 407, 1180, 1847]);884174:(1,1.0,[28]);884301:(1,1.0,[5]);884409:(1,1.0,[0]);884609:(1,1.0,[13]);884681:(1,1.0,[0]);884740:(2,1.3,[77, 80]);884967:(1,1.0,[0]);884980:(2,1.3,[0, 65]);885010:(1,1.0,[2]);885152:(1,1.0,[1]);885164:(1,1.0,[1]);885170:(2,1.3,[143, 360]);885479:(1,1.0,[40]);885641:(3,1.48,[0, 39, 54]);885748:(1,1.0,[12]);885994:(1,1.0,[5])
dreamer;883354:(2,1.3,[0, 14]);883455:(1,1.0,[177]);883484:(1,1.0,[10]);883528:(1,1.0,[16]);883540:(1,1.0,[1]);884350:(1,1.0,[2]);884772:(1,1.0,[15]);885604:(1,1.0,[10])
dreami;881886:(1,1.0,[24]);882150:(1,1.0,[126]);883124:(1,1.0,[55]);884542:(2,1.3,[12, 32])
dreamlik;884733:(2,1.3,[84, 122])
dreams';883920:(1,1.0,[5])
dreamworld;884145:(1,1.0,[0])
dreari;884983:(2,1.3,[37, 51])
dresden;883039:(1,1.0,[107]);885270:(1,1.0,[3])
dress;882758:(1,1.0,[43]);883094:(1,1.0,[1]);883098:(1,1.0,[49])
dri;885079:(1,1.0,[9])
drift;882620:(1,1.0,[52]);882714:(1,1.0,[20]);882827:(1,1.0,[57]);883433:(1,1.0,[63]);884255:(1,1.0,[40]);884472:(1,1.0,[25]);884733:(1,1.0,[83]);884734:(1,1.0,[0]);885748:(1,1.0,[10]);885948:(1,1.0,[11])
drill;884352:(1,1.0,[4]);885755:(1,1.0,[9])
drink;882571:(1,1.0,[1]);883069:(1,1.0,[0]);883180:(1,1.0,[8]);883355:(1,1.0,[18]);883374:(1,1.0,[30]);883925:(1,1.0,[23]);884700:(1,1.0,[11]);884986:(1,1.0,[26]);885389:(1,1.0,[1])
drive;881930:(1,1.0,[44]);881948:(1,1.0,[4]);881997:(1,1.0,[6]);882010:(1,1.0,[13]);882205:(1,1.0,[273]);882220:(2,1.3,[936, 1472]);882239:(1,1.0,[4]);882270:(1,1.0,[13]);882306:(1,1.0,[65]);882559:(1,1.0,[12]);882598:(1,1.0,[0]);882642:(1,1.0,[19]);882695:(1,1.0,[25]);882927:(1,1.0,[2]);883096:(1,1.0,[77]);883333:(2,1.3,[209, 316]);883417:(1,1.0,[37]);883464:(1,1.0,[12]);883548:(1,1.0,[9]);883562:(1,1.0,[16]);883870:(1,1.0,[14]);883933:(1,1.0,[3]);884077:(1,1.0,[8]);884078:(1,1.0,[15]);884080:(1,1.0,[8]);884118:(1,1.0,[12]);884119:(1,1.0,[6]);884120:(1,1.0,[10]);884154:(1,1.0,[9]);884235:(1,1.0,[22]);884269:(3,1.48,[0, 16, 59]);884316:(1,1.0,[16]);884341:(1,1.0,[8]);884452:(1,1.0,[23]);884499:(1,1.0,[14]);884588:(1,1.0,[13]);884688:(1,1.0,[11]);884700:(1,1.0,[18]);884730:(1,1.0,[10]);884793:(1,1.0,[23]);884817:(1,1.0,[12]);884822:(1,1.0,[11]);884917:(1,1.0,[19]);885089:(1,1.0,[13]);885250:(1,1.0,[8]);885258:(1,1.0,[0]);885271:(1,1.0,[69]);885286:(1,1.0,[2]);885520:(1,1.0,[13]);885556:(1,1.0,[5]);885599:(1,1.0,[23]);885727:(1,1.0,[17]);885755:(1,1.0,[30]);885913:(1,1.0,[10]);885949:(1,1.0,[25])
drivel;883362:(1,1.0,[25]);885267:(2,1.3,[50, 71])
driven;882358:(1,1.0,[44]);882408:(1,1.0,[4]);882551:(1,1.0,[37]);882870:(1,1.0,[11]);882904:(1,1.0,[28]);883078:(1,1.0,[43]);883096:(1,1.0,[102]);885170:(1,1.0,[146])
driver;881982:(1,1.0,[3]);882698:(1,1.0,[1]);883455:(2,1.3,[261, 291])
driveway;883492:(1,1.0,[16])
drivin;885019:(1,1.0,[26])
drivin';884523:(1,1.0,[0])
drizzli;885444:(1,1.0,[25])
droid;882208:(1,1.0,[14])
drone;882005:(1,1.0,[52]);882584:(1,1.0,[9]);884155:(1,1.0,[2]);884399:(1,1.0,[16]);884734:(1,1.0,[20]);885134:(1,1.0,[1])
drool;884050:(1,1.0,[29])
drop;882002:(1,1.0,[6]);882262:(1,1.0,[17]);882468:(1,1.0,[80]);882534:(1,1.0,[15]);882998:(1,1.0,[48]);883003:(2,1.3,[6, 9]);883270:(2,1.3,[361, 365]);883391:(1,1.0,[8]);883409:(1,1.0,[71]);883747:(1,1.0,[2]);883795:(1,1.0,[1]);883819:(1,1.0,[20]);883968:(1,1.0,[9]);884490:(3,1.48,[0, 8, 11]);884561:(1,1.0,[12]);884943:(1,1.0,[155]);885670:(1,1.0,[25]);885688:(1,1.0,[24]);885929:(1,1.0,[14]);885980:(1,1.0,[16])
dropout;883758:(1,1.0,[16])
droppin;882841:(1,1.0,[10])
drought;885464:(1,1.0,[171])
drove;882838:(1,1.0,[19]);885258:(1,1.0,[7])
drown;883365:(1,1.0,[0]);883548:(1,1.0,[41]);883552:(1,1.0,[10]);884296:(1,1.0,[15])
dru;885720:(2,1.3,[1, 12])
drug;881922:(1,1.0,[28]);882220:(1,1.0,[522]);882388:(1,1.0,[2]);882758:(1,1.0,[46]);882844:(1,1.0,[38]);883047:(1,1.0,[0]);883243:(1,1.0,[23]);883483:(2,1.3,[231, 389]);884023:(1,1.0,[14]);884532:(1,1.0,[4]);884696:(1,1.0,[21]);884738:(1,1.0,[7]);884923:(1,1.0,[22])
drum;881958:(1,1.0,[243]);882005:(1,1.0,[257]);882048:(1,1.0,[22]);882062:(1,1.0,[100]);882103:(1,1.0,[18]);882118:(1,1.0,[5]);882210:(1,1.0,[26]);882375:(1,1.0,[104]);882529:(1,1.0,[17]);882588:(1,1.0,[59]);882695:(1,1.0,[26]);882698:(1,1.0,[6]);882967:(1,1.0,[4]);882980:(1,1.0,[19]);883039:(1,1.0,[25]);883148:(1,1.0,[38]);883409:(1,1.0,[355]);883413:(1,1.0,[15]);883415:(1,1.0,[75]);883457:(1,1.0,[21]);883718:(1,1.0,[15]);883815:(1,1.0,[18]);883818:(4,1.6,[224, 233, 342, 351]);883851:(1,1.0,[316]);883872:(1,1.0,[18]);883927:(1,1.0,[22]);884030:(1,1.0,[45]);884088:(1,1.0,[30]);884217:(1,1.0,[20]);884417:(1,1.0,[13]);884718:(1,1.0,[28]);884757:(1,1.0,[1]);884767:(1,1.0,[12]);884980:(1,1.0,[41]);885027:(2,1.3,[87, 131]);885105:(2,1.3,[136, 140]);885222:(1,1.0,[45]);885487:(7,1.85,[1, 12, 46, 62, 77, 107, 381]);885933:(1,1.0,[5]);885940:(1,1.0,[8]);886026:(1,1.0,[108])
drummer;881958:(1,1.0,[250]);881992:(1,1.0,[13]);882400:(1,1.0,[1]);882658:(2,1.3,[1, 10]);882685:(1,1.0,[1]);883270:(1,1.0,[147]);883483:(1,1.0,[22]);883493:(1,1.0,[3]);883709:(1,1.0,[1]);883844:(1,1.0,[1]);883851:(1,1.0,[63]);883949:(1,1.0,[1]);884030:(1,1.0,[40]);884036:(1,1.0,[1]);884042:(2,1.3,[1, 14]);884087:(1,1.0,[15]);884142:(1,1.0,[1]);884431:(1,1.0,[18]);884432:(1,1.0,[4]);884705:(1,1.0,[4]);884743:(3,1.48,[1, 7, 27]);884797:(2,1.3,[1, 8]);885084:(1,1.0,[1]);885105:(1,1.0,[132]);885192:(1,1.0,[1]);885539:(3,1.48,[1, 4, 23]);885543:(1,1.0,[15]);885726:(1,1.0,[1]);885782:(1,1.0,[9]);885915:(1,1.0,[1]);885920:(2,1.3,[1, 11]);885992:(1,1.0,[14])
drunk;883355:(1,1.0,[0])
drunken;882879:(1,1.0,[17])
dsh;882150:(1,1.0,[381])
du;882395:(1,1.0,[9]);883893:(1,1.0,[490]);884829:(1,1.0,[6]);885307:(1,1.0,[0]);885939:(1,1.0,[0])
dual;883267:(1,1.0,[13]);884890:(1,1.0,[89]);885498:(1,1.0,[3])
dualiti;885498:(1,1.0,[0])
dub;881921:(2,1.3,[10, 15]);882418:(1,1.0,[4]);882882:(1,1.0,[60]);884806:(1,1.0,[0]);885241:(1,1.0,[9]);885404:(2,1.3,[4, 11]);885846:(1,1.0,[0])
dubiou;883409:(1,1.0,[40])
dublin;884278:(2,1.3,[1, 44])
dubstep;882262:(1,1.0,[4]);882341:(1,1.0,[0]);882584:(3,1.48,[0, 23, 26]);883179:(2,1.3,[9, 13]);883208:(2,1.3,[8, 12]);883263:(2,1.3,[8, 12]);883317:(2,1.3,[8, 12]);883340:(2,1.3,[4, 12]);883371:(2,1.3,[8, 12]);883378:(2,1.3,[8, 12]);883615:(2,1.3,[8, 12]);883749:(2,1.3,[8, 12]);883866:(2,1.3,[7, 11]);883882:(1,1.0,[10]);884535:(1,1.0,[2]);884602:(1,1.0,[4]);884603:(1,1.0,[142]);884899:(2,1.3,[2, 18])
